trial_id,dataset,split_mode,fold_index,lr,batch_size,epochs,train_rmse,train_pearson,val_rmse,val_pearson,test_rmse,test_pearson,checkpoint_path,duration_seconds,duration_hms,status,error_message
trial_001,mpro_urv,dataset_folds,1,0.001,4,150,0.6277543915876121,0.6922638166027171,0.6227025565258698,0.6377129847112664,0.7853847384173934,0.6281786276115933,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_001/deepdta_best.pt,56.93,00:00:57,success,
trial_002,mpro_urv,dataset_folds,1,0.001,8,150,0.6192144419023803,0.7071566013849636,0.6353417933873191,0.6189991539004758,0.7954699607706252,0.6174807290526841,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_002/deepdta_best.pt,21.341,00:00:21,success,
trial_003,mpro_urv,dataset_folds,1,0.001,16,150,0.5998605198779419,0.6940171962373884,0.6102429349549673,0.645482189041814,0.7561454554084999,0.6260837743023222,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_003/deepdta_best.pt,11.547,00:00:12,success,
trial_004,mpro_urv,dataset_folds,1,0.003,4,150,0.5203692209145024,0.8037134744735759,0.6358305023509504,0.6332887979529235,0.7666921655772504,0.6230472413764039,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_004/deepdta_best.pt,58.142,00:00:58,success,
trial_005,mpro_urv,dataset_folds,1,0.003,8,150,0.5273016406771741,0.7784737368450892,0.669354033974492,0.5763403745814294,0.7380889335110216,0.558757859932807,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_005/deepdta_best.pt,20.423,00:00:20,success,
trial_006,mpro_urv,dataset_folds,1,0.003,16,150,0.6097476154587507,0.6799869192387629,0.6421862042408797,0.6003558083121008,0.7460150282345349,0.5994448235768028,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_006/deepdta_best.pt,10.717,00:00:11,success,
trial_007,mpro_urv,dataset_folds,1,0.00075,4,150,0.5388385482296878,0.7577292187582472,0.6226944962338776,0.6426452075958267,0.728333143937636,0.626871335329814,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_007/deepdta_best.pt,53.977,00:00:54,success,
trial_008,mpro_urv,dataset_folds,1,0.00075,8,150,0.5800716852546902,0.705550726639655,0.6516424477961378,0.607566895013951,0.7062601746793625,0.6213559199812808,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_008/deepdta_best.pt,19.79,00:00:20,success,
trial_009,mpro_urv,dataset_folds,1,0.00075,16,150,0.61532556123911,0.6756003996197145,0.6207934663776935,0.6325293832748647,0.7625388303046411,0.6181460599112923,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_009/deepdta_best.pt,11.711,00:00:12,success,
trial_010,mpro_urv,dataset_folds,1,0.0005,4,150,0.5102222730053553,0.8206907520337615,0.6336460906929375,0.6336275418062685,0.7652932456028434,0.6269205414752708,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_010/deepdta_best.pt,59.954,00:01:00,success,
trial_011,mpro_urv,dataset_folds,1,0.0005,8,150,0.6085530967849555,0.6807905258618366,0.605844309945167,0.6524217945452317,0.745249350325045,0.6473452539355916,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_011/deepdta_best.pt,22.174,00:00:22,success,
trial_012,mpro_urv,dataset_folds,1,0.0005,16,150,0.5847452847214573,0.7061322220798124,0.6297987760416204,0.6165985761205462,0.7441218427348206,0.6148222419865615,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_012/deepdta_best.pt,11.862,00:00:12,success,
trial_013,mpro_urv,dataset_folds,1,0.0001,4,150,0.6095810275126998,0.6814586355110767,0.6133049898269636,0.6421786453371617,0.7493645955361874,0.635486096442493,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_013/deepdta_best.pt,60.429,00:01:00,success,
trial_014,mpro_urv,dataset_folds,1,0.0001,8,150,0.6150782116522243,0.6771449571148097,0.6123981634438334,0.6468295266977881,0.7493239076984846,0.6410523253847298,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_014/deepdta_best.pt,22.327,00:00:22,success,
trial_015,mpro_urv,dataset_folds,1,0.0001,16,150,0.5925910081340471,0.6973067612894548,0.6114095363021606,0.6435990971243413,0.7378612462057013,0.6391750659928278,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/models/trial_015/deepdta_best.pt,11.969,00:00:12,success,
