trial_id,dataset,split_mode,fold_index,lr,batch_size,dropout,epochs,train_rmse,train_pearson,val_rmse,val_pearson,test_rmse,test_pearson,test_mse,test_mae,checkpoint_path,duration_seconds,duration_hms,status,error_message
trial_001,mpro_urv,dataset_folds,0,0.001,4,0.3,200,0.1640434510353038,0.9888359047148467,0.6985786159602904,0.49441101246737756,0.6947416731333552,0.5555131657655816,0.48266599238813385,0.5043605457652699,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_001/widedta_best.pt,18.195,00:00:18,success,
trial_002,mpro_urv,dataset_folds,0,0.001,8,0.3,200,0.15047446010917173,0.9908656141538109,0.6933080648931226,0.5152740684881001,0.6829799420885453,0.5677732348879824,0.4664616012952727,0.4959936033595692,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_002/widedta_best.pt,12.081,00:00:12,success,
trial_003,mpro_urv,dataset_folds,0,0.001,16,0.3,200,0.13875216904234997,0.9905704949139879,0.6900124070324312,0.5121037839779771,0.669839870247001,0.5750452615311835,0.4486854517725192,0.4845054041255604,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_003/widedta_best.pt,8.923,00:00:09,success,
trial_004,mpro_urv,dataset_folds,0,0.003,4,0.3,200,0.20051656195123965,0.9892092267997893,0.6883764601340921,0.516880177628097,0.6807606616739706,0.5745835774224871,0.4634350784827823,0.5060102506117388,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_004/widedta_best.pt,17.831,00:00:18,success,
trial_005,mpro_urv,dataset_folds,0,0.003,8,0.3,200,0.12175704270614883,0.9895663305881198,0.6773434099636345,0.5436434557531934,0.6638260542780225,0.5884557541595645,0.4406650303383282,0.4966379404067993,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_005/widedta_best.pt,11.653,00:00:12,success,
trial_006,mpro_urv,dataset_folds,0,0.003,16,0.3,200,0.2537214118743573,0.9897841243271641,0.6958635769448129,0.5025270701782154,0.6965690102296207,0.557162504437824,0.4852083860122734,0.5332036885348234,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_006/widedta_best.pt,9.052,00:00:09,success,
trial_007,mpro_urv,dataset_folds,0,0.00075,4,0.3,200,0.1289255742369957,0.9920475522597185,0.6863552691363501,0.5212054536980327,0.7024201157171165,0.5438488399099888,0.49339401896404733,0.5083765116604891,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_007/widedta_best.pt,18.753,00:00:19,success,
trial_008,mpro_urv,dataset_folds,0,0.00075,8,0.3,200,0.13775103401454475,0.9917064808868107,0.6917485642316414,0.5178421510979402,0.6671439166709999,0.5894258953293002,0.4450810055511221,0.4873382394964045,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_008/widedta_best.pt,15.473,00:00:15,success,
trial_009,mpro_urv,dataset_folds,0,0.00075,16,0.3,200,0.15327516665703753,0.9920315164287321,0.7031724291486162,0.4997942780638311,0.675223191822838,0.5751653776727624,0.455926358775421,0.48936037583784625,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_009/widedta_best.pt,14.259,00:00:14,success,
trial_010,mpro_urv,dataset_folds,0,0.0005,4,0.3,200,0.10078209341995227,0.992700118645734,0.6855087389432504,0.5362887140140623,0.6871513498919304,0.5737705062328673,0.4721769776583022,0.47801191156560724,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_010/widedta_best.pt,48.235,00:00:48,success,
trial_011,mpro_urv,dataset_folds,0,0.0005,8,0.3,200,0.10753678801554285,0.9921035705117419,0.7096599058332567,0.49932518312109053,0.6803984038786055,0.5799530679469982,0.46294198800055403,0.5018549507314508,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_011/widedta_best.pt,31.288,00:00:31,success,
trial_012,mpro_urv,dataset_folds,0,0.0005,16,0.3,200,0.16435175433157895,0.9914710197153241,0.7019112239066816,0.4987809774512947,0.6756238002291758,0.5742635781691258,0.4564675194361133,0.49598155238411645,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_012/widedta_best.pt,20.624,00:00:21,success,
trial_013,mpro_urv,dataset_folds,0,0.0001,4,0.3,200,0.1678479326165166,0.9898970089939385,0.7140873163786733,0.4810841375832696,0.6673485077721028,0.5868000314324803,0.44535403082565234,0.4871510592373935,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_013/widedta_best.pt,57.007,00:00:57,success,
trial_014,mpro_urv,dataset_folds,0,0.0001,8,0.3,200,0.16794752829890766,0.9877226986072971,0.7150045068693262,0.4730697689929648,0.6578441411817294,0.5912431351716301,0.4327589140871272,0.49283289909362793,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_014/widedta_best.pt,31.439,00:00:31,success,
trial_015,mpro_urv,dataset_folds,0,0.0001,16,0.3,200,0.21764544057906995,0.9733278382112399,0.7136397457619094,0.477350763904504,0.6429041290348646,0.6156797290676869,0.4133257191300779,0.47423106973821466,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/models/trial_015/widedta_best.pt,20.613,00:00:21,success,
